Id,prov_ij,startCoor,endCoor,startCentury,endCentury,startCountry,endCountry
2140828,3,"[51.05089, 13.738320000000002]","[51.339620000000004, 12.37129]",19,19,Germany,Germany
2140828,4,"[51.339620000000004, 12.37129]","[55.752219999999994, 37.615559999999995]",20,20,Germany,Russia
2140829,1,"[43.77925, 11.246260000000001]","[59.93863, 30.31413]",15,19,Italy,Russia
2140829,2,"[59.93863, 30.31413]","[55.752219999999994, 37.615559999999995]",19,19,Russia,Russia
2140829,3,"[55.752219999999994, 37.615559999999995]","[55.752219999999994, 37.615559999999995]",20,20,Russia,Russia
2141491,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141491,2,"[42.83333, 12.83333]","[44.32588, 7.67431]",15,17,Italy,Italy
2141491,3,"[44.32588, 7.67431]","[51.50853, -0.12574000000000002]",17,19,Italy,United Kingdom
2141491,4,"[51.50853, -0.12574000000000002]","[37.80437, -122.2708]",19,19,United Kingdom,United States
2141491,5,"[37.80437, -122.2708]","[37.80437, -122.2708]",20,20,United States,United States
2142782,1,"[43.77925, 11.246260000000001]","[51.50853, -0.12574000000000002]",15,19,Italy,United Kingdom
2142782,2,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2141147,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,16,Italy,Italy
2141147,2,"[43.77925, 11.246260000000001]","[51.50853, -0.12574000000000002]",16,17,Italy,United Kingdom
2141147,3,"[51.50853, -0.12574000000000002]","[52.2, 0.11667000000000001]",17,17,United Kingdom,United Kingdom
2140991,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140991,2,"[42.83333, 12.83333]","[40.85216, 14.26811]",16,15,Italy,Italy
2140991,3,"[40.85216, 14.26811]","[54.75844, -2.6953099999999997]",16,18,Italy,United Kingdom
2140991,4,"[54.75844, -2.6953099999999997]","[47.39484, 0.70398]",19,18,United Kingdom,France
2140991,5,"[47.39484, 0.70398]","[47.39484, 0.70398]",20,20,France,France
2138497,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,16,Italy,NoInfo
2138497,2,"[43.77925, 11.246260000000001]","[52.068659999999994, 4.28635]",16,19,NoInfo,Netherlands
2138497,3,"[52.068659999999994, 4.28635]","[52.068659999999994, 4.28635]",19,19,Netherlands,Netherlands
2129250,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2129250,2,"[42.83333, 12.83333]","[54.75844, -2.6953099999999997]",15,18,Italy,United Kingdom
2129250,3,"[54.75844, -2.6953099999999997]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2129250,4,"[51.50853, -0.12574000000000002]","[51.32029, -1.54255]",19,19,United Kingdom,United Kingdom
2129250,5,"[51.32029, -1.54255]","[51.50853, -0.12574000000000002]",20,20,United Kingdom,United Kingdom
2129250,6,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",20,20,United Kingdom,United Kingdom
2129250,7,"[51.50853, -0.12574000000000002]","[34.1214, -118.10646000000001]",20,20,United Kingdom,United States
2129250,8,"[34.1214, -118.10646000000001]","[34.1214, -118.10646000000001]",20,20,United States,United States
2141115,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,15,Italy,NoInfo
2141115,2,"[43.77925, 11.246260000000001]","[49.83826, 24.023239999999998]",15,15,NoInfo,Ukraine
2141115,3,"[49.83826, 24.023239999999998]","[49.83826, 24.023239999999998]",19,19,Ukraine,Ukraine
2141115,4,"[49.83826, 24.023239999999998]","[51.1, 17.03333]",20,20,Ukraine,Poland
2013774,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,16,Italy,NoInfo
2013774,2,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",18,16,NoInfo,NoInfo
2013774,3,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",17,18,NoInfo,NoInfo
2013774,4,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",19,15,NoInfo,NoInfo
2013774,5,"[43.77925, 11.246260000000001]","[51.50853, -0.12574000000000002]",16,18,NoInfo,United Kingdom
2013774,6,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2013774,7,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2013774,8,"[51.50853, -0.12574000000000002]","[40.32118, -79.37948]",19,20,United Kingdom,United States
2013774,9,"[40.32118, -79.37948]","[40.71427, -74.00596999999999]",20,20,United States,United States
2013774,10,"[40.71427, -74.00596999999999]","[51.50853, -0.12574000000000002]",20,21,United States,United Kingdom
2013774,11,"[51.50853, -0.12574000000000002]","[37.98376, 23.72784]",21,21,United Kingdom,Greece
2013774,12,"[37.98376, 23.72784]","[37.98376, 23.72784]",21,21,Greece,Greece
2016450,1,"[43.77925, 11.246260000000001]","[45.54694, 13.729439999999999]",15,15,Italy,Slovenia
2016450,2,"[45.54694, 13.729439999999999]","[42.83333, 12.83333]",15,15,Slovenia,Italy
2016450,3,"[42.83333, 12.83333]","[43.77925, 11.246260000000001]",16,16,Italy,Italy
2016450,4,"[43.77925, 11.246260000000001]","[45.437129999999996, 12.33265]",17,17,Italy,Italy
2016450,5,"[45.437129999999996, 12.33265]","[45.437129999999996, 12.33265]",18,18,Italy,Italy
2016450,6,"[45.437129999999996, 12.33265]","[45.437129999999996, 12.33265]",19,19,Italy,Italy
2128758,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2128758,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",15,17,Italy,Italy
2128758,3,"[42.83333, 12.83333]","[40.71427, -74.00596999999999]",18,20,Italy,United States
2128758,4,"[40.71427, -74.00596999999999]","[40.71427, -74.00596999999999]",20,20,United States,United States
2128758,5,"[40.71427, -74.00596999999999]","[42.296490000000006, -71.29256]",20,20,United States,United States
2140739,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,17,Italy,Italy
2140739,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",17,19,Italy,NoInfo
2140739,3,"[42.83333, 12.83333]","[44.64783, 10.92539]",19,19,NoInfo,Italy
2140739,4,"[44.64783, 10.92539]","[44.64783, 10.92539]",20,20,Italy,Italy
2141240,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141240,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,17,Italy,NoInfo
2141240,3,"[42.83333, 12.83333]","[55.86515, -4.257630000000001]",18,17,NoInfo,United Kingdom
2141240,4,"[55.86515, -4.257630000000001]","[55.86515, -4.257630000000001]",19,19,United Kingdom,United Kingdom
2141240,5,"[55.86515, -4.257630000000001]","[55.86515, -4.257630000000001]",19,19,United Kingdom,United Kingdom
2141240,6,"[55.86515, -4.257630000000001]","[55.86515, -4.257630000000001]",19,19,United Kingdom,United Kingdom
2140723,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,16,Italy,Italy
2140723,2,"[42.83333, 12.83333]","[44.40478, 8.94439]",17,19,Italy,Italy
2140723,3,"[44.40478, 8.94439]","[44.40478, 8.94439]",20,19,Italy,Italy
2140988,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140988,2,"[42.83333, 12.83333]","[43.29695, 5.381069999999999]",15,19,Italy,France
2140988,3,"[43.29695, 5.381069999999999]","[48.85341, 2.3488]",19,20,France,France
2140750,1,"[43.77925, 11.246260000000001]","[40.85216, 14.26811]",15,19,Italy,Italy
2140750,2,"[40.85216, 14.26811]","[40.85216, 14.26811]",19,19,Italy,Italy
2140752,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140752,2,"[42.83333, 12.83333]","[43.708529999999996, 10.4036]",18,15,Italy,Italy
2140752,3,"[43.708529999999996, 10.4036]","[43.708529999999996, 10.4036]",18,18,Italy,Italy
2140760,1,"[43.77925, 11.246260000000001]","[43.72123, 11.76642]",15,18,Italy,Italy
2140760,2,"[43.72123, 11.76642]","[43.72123, 11.76642]",19,19,Italy,Italy
2140687,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140687,2,"[42.83333, 12.83333]","[44.46667, 11.43333]",15,18,Italy,Italy
2117472,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2117472,2,"[42.83333, 12.83333]","[48.2082, 16.37169]",16,19,Italy,Austria
2141109,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141109,2,"[42.83333, 12.83333]","[45.19205, 9.15917]",16,18,Italy,Italy
2141109,3,"[45.19205, 9.15917]","[45.19205, 9.15917]",19,19,Italy,Italy
2141099,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141099,2,"[42.83333, 12.83333]","[43.77925, 11.246260000000001]",16,18,Italy,Italy
2141099,3,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",18,18,Italy,Italy
2141099,4,"[43.77925, 11.246260000000001]","[45.4299, 10.98444]",19,18,Italy,Italy
2141099,5,"[45.4299, 10.98444]","[45.4299, 10.98444]",19,19,Italy,Italy
2141102,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141102,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",15,16,Italy,NoInfo
2141102,3,"[42.83333, 12.83333]","[56.59766, 24.207629999999998]",16,19,NoInfo,Latvia
2141102,4,"[56.59766, 24.207629999999998]","[56.946000000000005, 24.10589]",20,20,Latvia,Latvia
2141016,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141016,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",15,16,Italy,Italy
2141016,3,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,15,Italy,Italy
2141016,4,"[42.83333, 12.83333]","[43.69876, 11.814739999999999]",16,15,Italy,Italy
2141016,5,"[43.69876, 11.814739999999999]","[43.61995, 11.471910000000001]",20,20,Italy,Italy
2141110,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141110,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,15,Italy,Italy
2141110,3,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,18,Italy,Italy
2141427,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,17,Italy,Italy
2141427,2,"[42.83333, 12.83333]","[41.90225, 12.4533]",17,17,Italy,Vatican City
2141456,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141456,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,16,Italy,Italy
2141456,3,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,18,Italy,NoInfo
2141456,4,"[42.83333, 12.83333]","[41.89193, 12.511330000000001]",18,20,NoInfo,Italy
2140731,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140731,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,15,Italy,Italy
2140731,3,"[42.83333, 12.83333]","[44.30905, 8.47715]",16,17,Italy,Italy
2140731,4,"[44.30905, 8.47715]","[43.84369, 10.50447]",17,18,Italy,Italy
2141434,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141434,2,"[42.83333, 12.83333]","[43.65975, 11.18494]",15,15,Italy,Italy
2141434,3,"[43.65975, 11.18494]","[42.83333, 12.83333]",15,17,Italy,Italy
2141434,4,"[42.83333, 12.83333]","[42.83333, 12.83333]",17,16,Italy,Italy
2141434,5,"[42.83333, 12.83333]","[41.89193, 12.511330000000001]",17,18,Italy,Italy
2141434,6,"[41.89193, 12.511330000000001]","[41.90225, 12.4533]",18,18,Italy,Vatican City
2141204,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,15,Italy,Italy
2141204,2,"[43.77925, 11.246260000000001]","[48.69096, 9.14062]",16,16,Italy,NoInfo
2141204,3,"[48.69096, 9.14062]","[43.77925, 11.246260000000001]",16,18,NoInfo,Italy
2141204,4,"[43.77925, 11.246260000000001]","[44.493809999999996, 11.33875]",18,19,Italy,Italy
2141204,5,"[44.493809999999996, 11.33875]","[42.3751, -71.10561]",19,19,Italy,United States
2141204,6,"[42.3751, -71.10561]","[42.3751, -71.10561]",20,20,United States,United States
2141492,1,"[43.77925, 11.246260000000001]","[40.85216, 14.26811]",15,18,Italy,Italy
2141492,2,"[40.85216, 14.26811]","[52.28107, -1.00095]",19,19,Italy,United Kingdom
2141492,3,"[52.28107, -1.00095]","[40.71427, -74.00596999999999]",19,19,United Kingdom,United States
2141492,4,"[40.71427, -74.00596999999999]","[40.71427, -74.00596999999999]",20,20,United States,United States
2145052,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2145052,2,"[42.83333, 12.83333]","[43.77925, 11.246260000000001]",16,15,Italy,Italy
2145052,3,"[43.77925, 11.246260000000001]","[52.683330000000005, 0.6166699999999999]",16,18,Italy,United Kingdom
2145052,4,"[52.683330000000005, 0.6166699999999999]","[51.50853, -0.12574000000000002]",20,20,United Kingdom,United Kingdom
2145052,5,"[51.50853, -0.12574000000000002]","[41.4901, -71.31283]",20,20,United Kingdom,United States
2145052,6,"[41.4901, -71.31283]","[40.71427, -74.00596999999999]",20,20,United States,United States
2145052,7,"[40.71427, -74.00596999999999]","[40.71427, -74.00596999999999]",20,20,United States,United States
2145052,8,"[40.71427, -74.00596999999999]","[40.71427, -74.00596999999999]",20,20,United States,United States
2145052,9,"[40.71427, -74.00596999999999]","[50.04937, 10.22175]",20,20,United States,Germany
2141553,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,15,Italy,Italy
2141553,2,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",16,15,Italy,NoInfo
2141553,3,"[43.77925, 11.246260000000001]","[51.50853, -0.12574000000000002]",16,18,NoInfo,United Kingdom
2141553,4,"[51.50853, -0.12574000000000002]","[52.28107, -1.00095]",19,19,United Kingdom,United Kingdom
2141553,5,"[52.28107, -1.00095]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2141553,6,"[51.50853, -0.12574000000000002]","[52.03127, -1.01815]",19,19,United Kingdom,United Kingdom
2141553,7,"[52.03127, -1.01815]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2141553,8,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2141553,9,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2141553,10,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,NoInfo
2141553,11,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,NoInfo,United Kingdom
2141553,12,"[51.50853, -0.12574000000000002]","[40.85216, 14.26811]",19,19,United Kingdom,Italy
2141553,13,"[40.85216, 14.26811]","[55.635940000000005, -3.4680699999999995]",19,19,Italy,United Kingdom
2141553,14,"[55.635940000000005, -3.4680699999999995]","[40.71427, -74.00596999999999]",20,20,United Kingdom,United States
2141553,15,"[40.71427, -74.00596999999999]","[40.71427, -74.00596999999999]",20,20,United States,United States
2141227,1,"[43.77925, 11.246260000000001]","[55.99089, -3.3984699999999997]",15,15,Italy,United Kingdom
2141227,2,"[55.99089, -3.3984699999999997]","[51.75222, -1.25596]",19,19,United Kingdom,United Kingdom
2140776,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140776,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",15,15,Italy,NoInfo
2140776,3,"[42.83333, 12.83333]","[41.89193, 12.511330000000001]",16,17,NoInfo,Italy
2141400,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141400,2,"[42.83333, 12.83333]","[51.50853, -0.12574000000000002]",15,17,Italy,United Kingdom
2141400,3,"[51.50853, -0.12574000000000002]","[51.8485, -1.35132]",18,18,United Kingdom,United Kingdom
2141400,4,"[51.8485, -1.35132]","[40.71427, -74.00596999999999]",19,19,United Kingdom,United States
2141400,5,"[40.71427, -74.00596999999999]","[40.71427, -74.00596999999999]",20,20,United States,United States
2141400,6,"[40.71427, -74.00596999999999]","[48.85341, 2.3488]",20,20,United States,France
2141400,7,"[48.85341, 2.3488]","[35.6895, 139.69171]",20,20,France,Japan
2141400,8,"[35.6895, 139.69171]","[35.6895, 139.69171]",21,21,Japan,Japan
2140685,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140685,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",15,16,Italy,Italy
2140685,3,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,16,Italy,Italy
2140685,4,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,16,Italy,Italy
2140685,5,"[42.83333, 12.83333]","[43.462759999999996, 11.88068]",16,17,Italy,Italy
2140732,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140732,2,"[42.83333, 12.83333]","[43.84369, 10.50447]",16,19,Italy,Italy
2141029,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141029,2,"[42.83333, 12.83333]","[43.77925, 11.246260000000001]",16,17,Italy,Italy
2141029,3,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",17,17,Italy,NoInfo
2141029,4,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",17,17,NoInfo,Italy
2141029,5,"[43.77925, 11.246260000000001]","[44.41344, 12.201210000000001]",18,20,Italy,Italy
2141588,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141588,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",15,16,Italy,Italy
2141588,3,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,17,Italy,NoInfo
2141588,4,"[42.83333, 12.83333]","[51.05089, 13.738320000000002]",17,18,NoInfo,Germany
2141588,5,"[51.05089, 13.738320000000002]","[52.37052, 9.73322]",19,19,Germany,Germany
2141588,6,"[52.37052, 9.73322]","[52.24067, 0.50415]",19,19,Germany,United Kingdom
2141588,7,"[52.24067, 0.50415]","[48.208490000000005, 16.37208]",19,19,United Kingdom,Austria
2141588,8,"[48.208490000000005, 16.37208]","[53.9, 27.566670000000002]",19,20,Austria,Belarus
2141168,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141168,2,"[42.83333, 12.83333]","[45.07049, 7.68682]",16,18,Italy,Italy
2140634,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,15,Italy,NoInfo
2140634,2,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",17,17,NoInfo,Italy
2140634,3,"[42.83333, 12.83333]","[48.85341, 2.3488]",17,19,Italy,France
2140634,4,"[48.85341, 2.3488]","[48.85341, 2.3488]",20,20,France,France
2141251,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141251,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,15,Italy,NoInfo
2141251,3,"[42.83333, 12.83333]","[42.3751, -71.10561]",16,19,NoInfo,United States
2141251,4,"[42.3751, -71.10561]","[42.3751, -71.10561]",19,19,United States,NoInfo
2140686,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,16,Italy,Italy
2140686,2,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",16,15,Italy,Italy
2140686,3,"[42.83333, 12.83333]","[44.493809999999996, 11.33875]",16,18,Italy,Italy
2140686,4,"[44.493809999999996, 11.33875]","[44.46667, 11.43333]",19,19,Italy,Italy
2141596,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,16,Italy,Italy
2141596,2,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",16,17,Italy,Italy
2141596,3,"[42.83333, 12.83333]","[45.46427, 9.18951]",17,19,Italy,Italy
2141596,4,"[45.46427, 9.18951]","[45.46427, 9.18951]",19,19,Italy,NoInfo
2141596,5,"[45.46427, 9.18951]","[51.185390000000005, 6.44172]",19,19,NoInfo,Germany
2141596,6,"[51.185390000000005, 6.44172]","[50.93333, 6.95]",20,20,Germany,Germany
